,ticker,date,time,title,compound
183,GOOGL,May-10-23,03:39PM,"Why indie pharmacies, with the help of the likes of Mark Cuban, are on the rise",0.6705
184,GOOGL,May-10-23,02:56PM,Microsoft-Activision Deal Blocked in the U.K. Now What?,-0.2732
185,GOOGL,May-10-23,02:47PM,Jeff Bezos Wanted Amazon To Be Named Cadabra  Little-Known Facts About Amazon's Early Days,0.1779
186,GOOGL,May-10-23,12:20PM,Earnings Estimates Moving Higher for Amazon (AMZN): Time to Buy?,0.1779
187,GOOGL,May-10-23,12:06PM,Is This the Turning Point for Rivian Stock?,0.0
188,GOOGL,May-10-23,12:05PM,Wealthy Americans are getting hit hardest by the economy slowing down,0.3612
189,GOOGL,May-10-23,11:50AM,Rivian And Worksport Continue Pursuing Their Ambitious Goals While Nikola Retracts,0.4767
190,GOOGL,May-10-23,11:37AM,Top 15 Wholesale Suppliers for Resellers in the US,0.2023
191,GOOGL,May-10-23,10:45AM,"As Shopify Drops Its Logistics Business, Amazon Could Be Poised to Strike",0.296
192,GOOGL,May-10-23,10:00AM,Rivian Earnings: 8 Key Metrics Investors Should See,0.0
193,GOOGL,May-10-23,09:43AM,Stocks trade higher at the open as investors digest April CPI data,0.0
194,GOOGL,May-10-23,09:00AM,Paramount didn't follow Warren Buffett's advice: Morning Brief,0.0
195,GOOGL,May-10-23,07:42AM,"Zacks Investment Ideas feature highlights: Apple, Amazon, Nvidia, Elf Beauty and Salesforce",0.6705
196,GOOGL,May-10-23,07:29AM,Q1 2023 Clean Energy Fuels Corp Earnings Call,0.5859
197,GOOGL,May-10-23,06:58AM,Is Amazon's AI-Powered Supply Chain the Secret to Its Dominance?,0.2023
198,GOOGL,May-10-23,05:53AM,Heres Why Amazon.com (AMZN) Rose in Q1,0.0
199,GOOGL,May-10-23,05:05AM,"Why AI Is the Next Big Thing in Investing, and How to Get in Early With These Stocks",0.0
200,META,May-15-23,08:10PM,Amazon Makes Major Change That Will Shake Up Shopping,0.0
201,META,May-15-23,07:00PM,Amazon planning conversational AI chatbot for website search,0.1779
202,META,May-15-23,05:37PM,"Stocks moving in after-hours: Berkshire Hathaway, Capital One, Beam, Tesla",0.0
203,META,May-15-23,04:48PM,Amazon Wants to Train Its Customers to Do Something Different,0.1779
204,META,May-15-23,03:59PM,OpenAI CEO Sam Altman set to testify before Congress Tuesday,0.0
205,META,May-15-23,01:18PM,Amazon Plans to Add ChatGPT-Style Search to Its Online Store,0.1779
206,META,May-15-23,12:35PM,5 Great College Graduation Gifts to Buy on Amazon,0.7003
207,META,May-15-23,12:23PM,Amazon Move Hints at a Major Delivery Change,0.1779
208,META,May-15-23,11:37AM,20 Most Successful Shark Tank Products Ever In 2023,0.624
209,META,May-15-23,11:35AM,Amazon Games and Embracer Groups Middle-earth Enterprises Strike Deal for New The Lord of the Rings Game,0.0516
210,META,May-15-23,11:31AM,"Here's What Investors Need to Know About Inflation, and 2 Stocks to Buy Now",0.0
211,META,May-15-23,11:25AM,Amazon May Want to Change Delivery Expectations (You Won't Like It),-0.0284
212,META,May-15-23,10:00AM,2 Top Growth Stocks to Buy Before They Skyrocket,0.5267
